plant,molecules
Desmodium gangeticum,Hypaphorine
Desmodium gangeticum,"N,N-Dimethyl-5-methoxytryptamine"
Desmodium gangeticum,Candicine
Desmodium gangeticum,"N,N-Dimethyltryptamine"
Desmodium gangeticum,Nb-methyltetrahydroharman
Desmodium gangeticum,Hordenine
Desmodium gangeticum,N-Methyltyramine
Desmodium gangeticum,N-methyltetrahydroharman
Desmodium gangeticum,Kievitone
Desmodium gangeticum,"5,7,2',4'-Tetrahydroxy-6-prenylisoflavanone"
Desmodium gangeticum,Genistein
Desmodium gangeticum,Dalbergioidin
Desmodium gangeticum,Phenethylamine
Desmodium gangeticum,Gangetin
Desmodium gangeticum,Pterocarpan
Desmodium gangeticum,Desmodin
Desmodium gangeticum,"(1R,14R)-3-methoxy-7,7,20,20-tetramethyl-8,12,19,25-tetraoxahexacyclo[12.11.0.02,11.04,9.015,24.018,23]pentacosa-2(11),3,5,9,15(24),16,18(23),21-octaene"
Desmodium gangeticum,"9H-Pyrido[3,4-B]indole"
Desmodium gangeticum,"9H-Pyrido[2,3-b]indole"
Desmodium gangeticum,Desmocarpin
Desmodium gangeticum,Methyl 1-methoxy-1H-indole-3-carboxylate
Desmodium gangeticum,"24-Ethylcholesta-5,22-dien-3beta-ol"
Desmodium gangeticum,1-Tritriacontanol
Desmodium gangeticum,1-Heptadecanol
Desmodium gangeticum,Tryptamine
Desmodium gangeticum,beta-Amyrone
Desmodium gangeticum,2'-Hydroxygenistein
Desmodium gangeticum,Kaempferol-7-o-D-glucopyranoside
Desmodium gangeticum,Salicylic acid
Desmodium gangeticum,"3,4-Dihydroxybenzoic acid"
Desmodium gangeticum,Stigmast-5-en-3-ol
Desmodium gangeticum,Quercetin 7-O-glucoside
Desmodium gangeticum,beta-Sitosterol
Desmodium gangeticum,Rutin
